lambda_nm,T_percent,T45_percent,overlap_p45_percent,overlap_m45_percent,overlap_0_percent,overlap_90_percent,overlap_R_percent,overlap_L_percent,delta_deg,retardance_deg,retardance_deg_plus90,phi_in,phi_out_est,phi_out_field,phi_out_flux
526.000000,98.785077,98.783246,99.998146,0.001854,50.384467,49.615533,49.806246,50.193754,-0.222033,0.222033,90.222033,4.938691262431e+02,4.878689953155e+02,4.878689953155e+02,4.878689953155e+02
527.000000,98.768962,98.766869,99.997882,0.002118,50.425590,49.574410,49.824760,50.175240,-0.200817,0.200817,90.200817,4.957645560303e+02,4.896615050357e+02,4.896615050357e+02,4.896615050357e+02
528.000000,98.751251,98.748913,99.997632,0.002368,50.461742,49.538258,49.846538,50.153462,-0.175863,0.175863,90.175863,4.976637650531e+02,4.914491927188e+02,4.914491927188e+02,4.914491927188e+02
529.000000,98.732750,98.730190,99.997407,0.002593,50.492505,49.507495,49.870760,50.129240,-0.148106,0.148106,90.148106,4.995664123468e+02,4.932356569388e+02,4.932356569388e+02,4.932356569388e+02
530.000000,98.713755,98.711005,99.997214,0.002786,50.517603,49.482397,49.896597,50.103403,-0.118498,0.118498,90.118498,5.014727146215e+02,4.950225489372e+02,4.950225489372e+02,4.950225489372e+02
531.000000,98.694996,98.692093,99.997059,0.002941,50.536864,49.463136,49.923209,50.076791,-0.088001,0.088001,90.088001,5.033827013469e+02,4.968135348516e+02,4.968135348516e+02,4.968135348516e+02
532.000000,98.676804,98.673791,99.996947,0.003053,50.550255,49.449745,49.949758,50.050242,-0.057577,0.057577,90.057577,5.052961268900e+02,4.986100668366e+02,4.986100668366e+02,4.986100668366e+02
533.000000,98.659550,98.656474,99.996882,0.003118,50.557845,49.442155,49.975444,50.024556,-0.028141,0.028141,90.028141,5.072133302820e+02,5.004143894005e+02,5.004143894005e+02,5.004143894005e+02
534.000000,98.643743,98.640652,99.996866,0.003134,50.559812,49.440188,49.999487,50.000513,-0.000588,0.000588,90.000588,5.091339743199e+02,5.022288107491e+02,5.022288107491e+02,5.022288107491e+02
535.000000,98.629452,98.626394,99.996899,0.003101,50.556443,49.443557,50.021168,49.978832,0.024259,0.024259,90.024259,5.110582602580e+02,5.040539637819e+02,5.040539637819e+02,5.040539637819e+02
536.000000,98.617120,98.614142,99.996980,0.003020,50.548098,49.451902,50.039828,49.960172,0.045642,0.045642,90.045642,5.129862511496e+02,5.058922687262e+02,5.058922687262e+02,5.058922687262e+02
537.000000,98.606839,98.603985,99.997105,0.002895,50.535234,49.464766,50.054869,49.945131,0.062878,0.062878,90.062878,5.149176748278e+02,5.077440435500e+02,5.077440435500e+02,5.077440435500e+02
538.000000,98.598750,98.596058,99.997270,0.002730,50.518359,49.481641,50.065785,49.934215,0.075388,0.075388,90.075388,5.168528722127e+02,5.096104701483e+02,5.096104701483e+02,5.096104701483e+02
539.000000,98.593083,98.590586,99.997467,0.002533,50.498044,49.501956,50.072132,49.927868,0.082662,0.082662,90.082662,5.187915153386e+02,5.114925515853e+02,5.114925515853e+02,5.114925515853e+02
540.000000,98.589696,98.587419,99.997690,0.002310,50.474913,49.525087,50.073576,49.926424,0.084316,0.084316,90.084316,5.207337853690e+02,5.133898564299e+02,5.133898564299e+02,5.133898564299e+02
541.000000,98.588773,98.586732,99.997930,0.002070,50.449601,49.550399,50.069861,49.930139,0.080058,0.080058,90.080058,5.226797781316e+02,5.153035791089e+02,5.153035791089e+02,5.153035791089e+02
542.000000,98.590178,98.588380,99.998175,0.001825,50.422786,49.577214,50.060820,49.939180,0.069697,0.069697,90.069697,5.246292020811e+02,5.172328660425e+02,5.172328660425e+02,5.172328660425e+02
543.000000,98.593839,98.592279,99.998417,0.001583,50.395135,49.604865,50.046394,49.953606,0.053166,0.053166,90.053166,5.265823937551e+02,5.191777992740e+02,5.191777992740e+02,5.191777992740e+02
544.000000,98.599706,98.598368,99.998644,0.001356,50.367318,49.632682,50.026595,49.973405,0.030476,0.030476,90.030476,5.285390274589e+02,5.211379249964e+02,5.211379249964e+02,5.211379249964e+02
545.000000,98.607504,98.606364,99.998844,0.001156,50.340003,49.659997,50.001537,49.998463,0.001761,0.001761,90.001761,5.304993711118e+02,5.231121870210e+02,5.231121870210e+02,5.231121870210e+02
546.000000,98.617242,98.616263,99.999007,0.000993,50.313809,49.686191,49.971414,50.028586,-0.032758,0.032758,90.032758,5.324631717202e+02,5.251004945802e+02,5.251004945802e+02,5.251004945802e+02
547.000000,98.628587,98.627722,99.999122,0.000878,50.289341,49.710659,49.936495,50.063505,-0.072773,0.072773,90.072773,5.344306463738e+02,5.271013960653e+02,5.271013960653e+02,5.271013960653e+02
548.000000,98.641204,98.640396,99.999180,0.000820,50.267151,49.732849,49.897133,50.102867,-0.117879,0.117879,90.117879,5.364018282292e+02,5.291132223489e+02,5.291132223489e+02,5.291132223489e+02
549.000000,98.655089,98.654272,99.999172,0.000828,50.247738,49.752262,49.853736,50.146264,-0.167608,0.167608,90.167608,5.383765386350e+02,5.311358530616e+02,5.311358530616e+02,5.311358530616e+02
550.000000,98.669720,98.668823,99.999090,0.000910,50.231553,49.768447,49.806780,50.193220,-0.221417,0.221417,90.221417,5.403548254077e+02,5.331665938465e+02,5.331665938465e+02,5.331665938465e+02
551.000000,98.684953,98.683896,99.998929,0.001071,50.218971,49.781029,49.756793,50.243207,-0.278698,0.278698,90.278698,5.423367516209e+02,5.352047673096e+02,5.352047673096e+02,5.352047673096e+02
552.000000,98.700534,98.699235,99.998684,0.001316,50.210302,49.789698,49.704336,50.295664,-0.338811,0.338811,90.338811,5.443221541069e+02,5.372488748210e+02,5.372488748210e+02,5.372488748210e+02
553.000000,98.715964,98.714336,99.998352,0.001648,50.205787,49.794213,49.650017,50.349983,-0.401058,0.401058,90.401058,5.463113188809e+02,5.392964829752e+02,5.392964829752e+02,5.392964829752e+02
554.000000,98.731224,98.729183,99.997933,0.002067,50.205582,49.794418,49.594460,50.405540,-0.464724,0.464724,90.464724,5.483039473850e+02,5.413472000815e+02,5.413472000815e+02,5.413472000815e+02
555.000000,98.745803,98.743264,99.997428,0.002572,50.209776,49.790224,49.538306,50.461694,-0.529074,0.529074,90.529074,5.503002296268e+02,5.433983817063e+02,5.433983817063e+02,5.433983817063e+02
556.000000,98.759460,98.756341,99.996842,0.003158,50.218370,49.781630,49.482210,50.517790,-0.593360,0.593360,90.593360,5.523002448274e+02,5.454487408409e+02,5.454487408409e+02,5.454487408409e+02
557.000000,98.772051,98.768277,99.996179,0.003821,50.231290,49.768710,49.426813,50.573187,-0.656846,0.656846,90.656846,5.543036767067e+02,5.474971105113e+02,5.474971105113e+02,5.474971105113e+02
558.000000,98.783058,98.778562,99.995448,0.004552,50.248392,49.751608,49.372753,50.627247,-0.718800,0.718800,90.718800,5.563108205539e+02,5.495408399039e+02,5.495408399039e+02,5.495408399039e+02
559.000000,98.792460,98.787183,99.994659,0.005341,50.269442,49.730558,49.320649,50.679351,-0.778514,0.778514,90.778514,5.583214005327e+02,5.515794462178e+02,5.515794462178e+02,5.515794462178e+02
560.000000,98.799836,98.793732,99.993821,0.006179,50.294148,49.705852,49.271081,50.728919,-0.835324,0.835324,90.835324,5.603356611395e+02,5.536107162221e+02,5.536107162221e+02,5.536107162221e+02
561.000000,98.804902,98.797935,99.992949,0.007051,50.322147,49.677853,49.224608,50.775392,-0.888588,0.888588,90.888588,5.623536271562e+02,5.556329483377e+02,5.556329483377e+02,5.556329483377e+02
562.000000,98.807577,98.799730,99.992058,0.007942,50.353006,49.646994,49.181733,50.818267,-0.937730,0.937730,90.937730,5.643751201070e+02,5.576453834934e+02,5.576453834934e+02,5.576453834934e+02
563.000000,98.807414,98.798681,99.991161,0.008839,50.386248,49.613752,49.142917,50.857083,-0.982222,0.982222,90.982222,5.664002113997e+02,5.596454024891e+02,5.596454024891e+02,5.596454024891e+02
564.000000,98.804311,98.794705,99.990277,0.009723,50.421332,49.578668,49.108569,50.891431,-1.021595,1.021595,91.021595,5.684289252015e+02,5.616322859105e+02,5.616322859105e+02,5.616322859105e+02
565.000000,98.798002,98.787551,99.989422,0.010578,50.457678,49.542322,49.079025,50.920975,-1.055464,1.055464,91.055464,5.704612555613e+02,5.636043202602e+02,5.636043202602e+02,5.636043202602e+02
566.000000,98.788258,98.777010,99.988613,0.011387,50.494663,49.505337,49.054573,50.945427,-1.083497,1.083497,91.083497,5.724970216349e+02,5.655598365433e+02,5.655598365433e+02,5.655598365433e+02
567.000000,98.774782,98.762799,99.987868,0.012132,50.531640,49.468360,49.035417,50.964583,-1.105462,1.105462,91.105462,5.745365467228e+02,5.674972214488e+02,5.674972214488e+02,5.674972214488e+02
568.000000,98.757302,98.744663,99.987202,0.012798,50.567936,49.432064,49.021704,50.978296,-1.121189,1.121189,91.121189,5.765796545400e+02,5.694145095274e+02,5.694145095274e+02,5.694145095274e+02
569.000000,98.735814,98.722615,99.986632,0.013368,50.602855,49.397145,49.013499,50.986501,-1.130602,1.130602,91.130602,5.786262888087e+02,5.713113789479e+02,5.713113789479e+02,5.713113789479e+02
570.000000,98.709833,98.696184,99.986172,0.013828,50.635706,49.364294,49.010796,50.989204,-1.133709,1.133709,91.133709,5.806766245072e+02,5.731849292001e+02,5.731849292001e+02,5.731849292001e+02
571.000000,98.679292,98.665314,99.985834,0.014166,50.665786,49.334214,49.013523,50.986477,-1.130593,1.130593,91.130593,5.827304725766e+02,5.750343074763e+02,5.750343074763e+02,5.750343074763e+02
572.000000,98.644039,98.629863,99.985629,0.014371,50.692403,49.307597,49.021519,50.978481,-1.121435,1.121435,91.121435,5.847878959478e+02,5.768583983874e+02,5.768583983874e+02,5.768583983874e+02
573.000000,98.603635,98.589403,99.985567,0.014433,50.714885,49.285115,49.034568,50.965432,-1.106486,1.106486,91.106486,5.868490866779e+02,5.786545318789e+02,5.786545318789e+02,5.786545318789e+02
574.000000,98.558191,98.544050,99.985651,0.014349,50.732568,49.267432,49.052374,50.947626,-1.086081,1.086081,91.086081,5.889136134530e+02,5.804226064782e+02,5.804226064782e+02,5.804226064782e+02
