lambda_nm,t_xx_real,t_xx_imag,t_xy_real,t_xy_imag,t_yx_real,t_yx_imag,t_yy_real,t_yy_imag,abs_txx_sq,abs_txy_sq,abs_tyx_sq,abs_tyy_sq,phase_txx_rad,phase_tyy_rad,retardance_deg,qwp_error_deg,T_x,T_y
560.000000,-2.650524407182e-01,9.603741715574e-01,2.533158230287e-03,-1.126492091342e-02,-1.152370136399e-02,-3.053829257452e-03,-9.591798588046e-01,-2.492619413990e-01,9.925713457252e-01,1.333153338052e-04,1.421215662601e-04,9.821575169665e-01,1.840081512568e+00,-2.887346492846e+00,89.138327,0.861673,9.927135800461e-01,9.822910102540e-01
561.000000,-2.426571527062e-01,9.665758758253e-01,2.270885540931e-03,-1.137266240260e-02,-1.152262796867e-02,-2.710873243434e-03,-9.646222942483e-01,-2.259869904879e-01,9.931514174869e-01,1.344943712636e-04,1.401197890463e-04,9.815662904306e-01,1.816761305933e+00,-2.911467760557e+00,89.092430,0.907570,9.932916262064e-01,9.817009054786e-01
562.000000,-2.201998104095e-01,9.722467123646e-01,2.000773696292e-03,-1.147761981256e-02,-1.150687387623e-02,-2.373576523363e-03,-9.694292989323e-01,-2.027427379394e-01,9.937516262081e-01,1.357388519454e-04,1.380420119157e-04,9.808977834156e-01,1.793524265855e+00,-2.935427939885e+00,89.050997,0.949003,9.938897706668e-01,9.810336572158e-01
563.000000,-1.976867204503e-01,9.773838591708e-01,1.722398413691e-03,-1.157896285646e-02,-1.147706277094e-02,-2.042947214579e-03,-9.736139922916e-01,-1.795519554781e-01,9.943592476100e-01,1.370390371267e-04,1.358966031696e-04,9.801631107020e-01,1.770365059089e+00,-2.959223675924e+00,89.014527,0.985473,9.944952411327e-01,9.803003243201e-01
564.000000,-1.751252830162e-01,9.819835054711e-01,1.435436413226e-03,-1.167580301482e-02,-1.143388850764e-02,-1.719907238854e-03,-9.771881098165e-01,-1.564344372651e-01,9.949604697688e-01,1.383848537372e-04,1.336918873155e-04,9.793683351293e-01,1.747279263242e+00,-2.982853238329e+00,88.983371,1.016629,9.950942577965e-01,9.795068409209e-01
565.000000,-1.525240044166e-01,9.860416181427e-01,1.139659147522e-03,-1.176720313980e-02,-1.137814371452e-02,-1.405326249914e-03,-9.801658994835e-01,-1.334116777622e-01,9.955416446328e-01,1.397658927059e-04,1.314370962570e-04,9.785238662736e-01,1.724263176884e+00,-3.006312654779e+00,88.957970,1.042030,9.956731770161e-01,9.786637787721e-01
566.000000,-1.298926759288e-01,9.895530123023e-01,8.349554298243e-04,-1.185216704028e-02,-1.131069924532e-02,-1.099963716197e-03,-9.825629989775e-01,-1.105008754759e-01,9.960872714166e-01,1.411710141206e-04,1.291418375951e-04,9.776404904407e-01,1.701314112185e+00,-3.029601341538e+00,88.938511,1.061489,9.962165581426e-01,9.777817793505e-01
567.000000,-1.072411368861e-01,9.925135173650e-01,5.213062380062e-04,-1.192969769110e-02,-1.123249787898e-02,-8.045025025354e-04,-9.843961623602e-01,-8.772009792863e-02,9.965837435929e-01,1.425894471949e-04,1.268162328779e-04,9.767306200501e-01,1.678428811573e+00,-3.052716837984e+00,88.925322,1.074678,9.967106889873e-01,9.768733912103e-01
568.000000,-8.458169462596e-02,9.949160381420e-01,1.988205299201e-04,-1.199873865020e-02,-1.114451868467e-02,-5.194925754438e-04,-9.856817966146e-01,-6.508255905106e-02,9.970119860179e-01,1.440092587990e-04,1.244701692490e-04,9.758043436699e-01,1.655606303641e+00,-3.075660396397e+00,88.918386,1.081614,9.971365515564e-01,9.759484700645e-01
569.000000,-6.192856416801e-02,9.967568968371e-01,-1.322573073312e-04,-1.205827152741e-02,-1.104778410705e-02,-2.454155978192e-04,-9.864367151422e-01,-4.260321645984e-02,9.973594584522e-01,1.454194042241e-04,1.221137624917e-04,9.748724270333e-01,1.632846626139e+00,-3.098430475725e+00,88.917790,1.082210,9.974817169955e-01,9.750179883434e-01
570.000000,-3.929485755217e-02,9.980304016030e-01,-4.716087787882e-04,-1.210726898802e-02,-1.094337116431e-02,1.738070660882e-05,-9.866801987533e-01,-2.029311145014e-02,9.976087683539e-01,1.468083771884e-04,1.197576745288e-04,9.739496249842e-01,1.610148406221e+00,-3.121028492227e+00,88.923532,1.076468,9.977285904929e-01,9.740965704316e-01
571.000000,-1.669805386033e-02,9.987312428999e-01,-8.187593183656e-04,-1.214471575611e-02,-1.083233577517e-02,2.686620034089e-04,-9.864286698681e-01,1.838644725013e-03,9.977429205471e-01,1.481644876182e-04,1.174116776182e-04,9.730449013521e-01,1.587514035737e+00,3.139728714866e+00,88.935350,1.064650,9.978604357788e-01,9.731931740002e-01
572.000000,5.844948680063e-03,9.988569098638e-01,-1.173146909760e-03,-1.216966211167e-02,-1.071576069601e-02,5.082730638640e-04,-9.857004774276e-01,2.378232689875e-02,9.977492898077e-01,1.494769495840e-04,1.150858688017e-04,9.721710302737e-01,1.564944755954e+00,3.117469997402e+00,88.953144,1.046856,9.978644880913e-01,9.723206575125e-01
